service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20111113,20120114
2,0,0,0,0,0,0,1,20111113,20120114
3,1,1,1,1,1,0,0,20111113,20120114
4,0,0,0,0,0,1,0,20111113,20120114
5,0,0,0,0,0,0,1,20111113,20120114
6,1,1,1,1,1,0,0,20111113,20120114
7,0,0,0,0,0,1,0,20111113,20120114
8,0,0,0,0,0,0,1,20111113,20120114
9,1,1,0,1,0,0,0,20111113,20120114
10,1,1,1,1,1,0,0,20111113,20120114
11,1,1,1,1,1,0,0,20111113,20120114
12,0,0,1,0,1,0,0,20111113,20120114
13,0,0,0,0,0,1,0,20111113,20120114
14,1,0,0,0,0,0,0,20111113,20120114
15,1,1,1,1,1,0,0,20111113,20120114
16,1,1,1,1,1,0,0,20111113,20120114
17,0,0,0,0,0,0,1,20111113,20120114
18,0,1,1,1,1,0,0,20111113,20120114
19,1,1,1,1,1,0,0,20111113,20120114
20,0,0,0,0,1,0,0,20111113,20120114
21,1,0,0,0,0,0,0,20111113,20120114
22,1,1,1,1,0,0,0,20111113,20120114
23,0,1,1,1,1,0,0,20111113,20120114
24,0,0,0,0,1,0,0,20111113,20120114
25,1,1,0,1,0,0,0,20111113,20120114
26,1,1,1,1,0,0,0,20111113,20120114
27,1,0,0,0,0,0,0,20111113,20120114
28,0,0,0,0,0,1,0,20111113,20120114
29,0,0,0,0,0,0,1,20111113,20120114
30,0,1,1,1,1,0,0,20111113,20120114
31,1,1,1,1,1,0,0,20111113,20120114
32,1,1,1,1,1,0,0,20111113,20120114
33,1,1,1,1,1,0,0,20111113,20120114
34,0,0,1,0,1,0,0,20111113,20120114
39,1,1,1,1,1,0,0,20111113,20120114
40,0,0,0,0,1,0,0,20111113,20120114
41,1,1,1,1,0,0,0,20111113,20120114
42,1,1,1,1,1,0,0,20111113,20120114
43,1,1,1,1,1,0,0,20111113,20120114
44,0,0,1,0,0,0,0,20111113,20120114
45,0,0,0,0,0,1,0,20111113,20120114
46,1,1,1,1,1,0,0,20111113,20120114
47,0,0,1,0,0,0,0,20111113,20120114
48,0,0,0,0,1,0,0,20111113,20120114
