route_id,route_short_name,route_long_name,route_type,route_url
37692,665,"Darien-Westmont",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=665                                                       
37571,821,"IL 53/83rd St.-Belmont Feeder",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=821                                         
37536,663,"Darien-Clarendon Hills",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=663                                                
37523,664,"Willowbrook-Clarendon Hills",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=664                                           
37563,662,"South Central Westmont Feeder",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=662                                         
37544,661,"Southwest Westmont Feeder",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=661                                             
37694,826,"South Lisle",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=826                                                           
37686,828,"North Lisle",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=828                                                           
37590,824,"East Bolingbrook Lisle Feeder",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=824                                         
37521,827,"Green Trails-Steeple Run",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=827                                              
37538,820,"University Heights-Hobson Creek Lis",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=820                                   
37517,829,"Lisle-Naperville Office Corridor",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=829                                      
37668,825,"Central Bolingbrook-Lisle Feeder",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=825                                      
37632,318,"West North Avenue",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=318                                                     
37531,308,"Medical Center",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=308                                                        
37603,332,"River - York Roads",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=332                                                    
37493,317,"Westchester",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=317                                                           
37605,307,"Harlem",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=307                                                                
37547,303,"Madison Street - 19th Avenue",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=303                                          
37649,311,"Oak Park Avenue",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=311                                                       
37495,305,"Cicero - River Forest",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=305                                                 
37562,392,"Little Village - United Parcel Service",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=392                                
37522,390,"Midway CTA - UPS Hodgkins",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=390                                             
37498,330,"Mannheim - LaGrange Roads",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=330                                             
37542,301,"Roosevelt Road",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=301                                                        
37555,319,"Grand Avenue",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=319                                                          
37576,757,"Northwest Connection",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=757                                                  
37591,315,"Austin - Ridgeland",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=315                                                    
37561,320,"Madison Street",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=320                                                        
37698,313,"St. Charles Road",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=313                                                      
37640,779,"Wrigley Field Express",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=779                                                 
37499,776,"Soldier Field Express",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=776                                                 
37550,309,"Lake Street",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=309                                                           
37551,747,"DuPage Connection",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=747                                                     
37665,322,"Cermak Road - 22nd Street",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=322                                             
37525,310,"Madison Street - Hillside",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=310                                             
37674,302,"Ogden / Stanley",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=302                                                       
37623,331,"Cumberland - 5th Avenue",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=331                                               
37625,304,"Cicero - LaGrange",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=304                                                     
37655,774,"US Cellular Field Express",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=774                                             
37677,775,"US Cellular Field Express",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=775                                             
37549,381,"95th Street",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=381                                                           
37533,383,"South Cicero",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=383                                                          
37560,384,"Narragansett - Ridgeland",3,http://www.pacebus.com/sub/schedules/route_detail.asp?RouteNo=384                                              
