route_id,trip_id,service_id,direction_id,block_id
37671,1900289,32,1,289671                                                                                                                             
37566,1900283,31,1,289693                                                                                                                             
37567,1906009,29,1,289799                                                                                                                             
37504,1900394,32,0,289710                                                                                                                             
37566,1900493,31,0,289717                                                                                                                             
37529,1904818,32,1,289772                                                                                                                             
37685,1900640,32,0,289753                                                                                                                             
37587,1900417,32,1,289743                                                                                                                             
37575,1904368,32,0,289816                                                                                                                             
37507,1904794,32,0,289848                                                                                                                             
37626,1903987,27,0,289842                                                                                                                             
37626,1904119,32,1,289862                                                                                                                             
37652,1904098,32,1,289938                                                                                                                             
37545,1904328,32,1,289962                                                                                                                             
37578,1904304,32,1,289993                                                                                                                             
37654,1904737,32,1,289991                                                                                                                             
37638,1902059,32,1,290136                                                                                                                             
37659,1902271,32,1,290179                                                                                                                             
37659,1902599,32,1,290171                                                                                                                             
37659,1901663,32,0,290166                                                                                                                             
37636,1902357,32,0,290199                                                                                                                             
37636,1901856,32,0,290205                                                                                                                             
37624,1902638,32,0,290287                                                                                                                             
37574,1901938,32,0,290268                                                                                                                             
37624,1902161,32,0,290309                                                                                                                             
37653,1902129,32,0,290379                                                                                                                             
37661,1901965,32,1,290314                                                                                                                             
37631,1902040,32,1,290406                                                                                                                             
37653,1901926,32,1,290401                                                                                                                             
37653,1901880,32,0,290398                                                                                                                             
37618,1901985,32,0,290443                                                                                                                             
37555,1909621,32,1,290594                                                                                                                             
37605,1908645,32,1,290588                                                                                                                             
37605,1909031,32,0,290607                                                                                                                             
37605,1908701,32,0,290602                                                                                                                             
37531,1909214,32,1,290624                                                                                                                             
37531,1909289,32,1,290626                                                                                                                             
37649,1908586,32,0,290637                                                                                                                             
37659,1902411,24,1,290181                                                                                                                             
37657,1898318,32,0,291673                                                                                                                             
37546,1905350,28,1,289888                                                                                                                             
37546,1905078,28,0,289885                                                                                                                             
37652,1905214,28,1,289936                                                                                                                             
37654,1905448,28,0,289986                                                                                                                             
37509,1901087,28,0,290148                                                                                                                             
37574,1901036,28,1,290269                                                                                                                             
37653,1900799,28,0,290283                                                                                                                             
37624,1901130,28,0,290310                                                                                                                             
37624,1901061,28,0,290305                                                                                                                             
37661,1900916,28,1,290302                                                                                                                             
37653,1900996,28,0,290399                                                                                                                             
37542,1907994,28,0,290550                                                                                                                             
37542,1907967,28,1,290547                                                                                                                             
37653,1901055,28,0,290439                                                                                                                             
37547,1907605,28,0,290567                                                                                                                             
37605,1907662,28,0,290589                                                                                                                             
37531,1908051,28,1,290621                                                                                                                             
37531,1908048,28,0,290621                                                                                                                             
37605,1908106,28,1,290608                                                                                                                             
37649,1907719,28,1,290638                                                                                                                             
37550,1907846,28,0,290668                                                                                                                             
37531,1907629,28,0,290718                                                                                                                             
37498,1907564,28,0,290762                                                                                                                             
37665,1908098,28,1,290755                                                                                                                             
37665,1907777,28,0,290749                                                                                                                             
37630,1898132,28,1,290980                                                                                                                             
37494,1898211,28,1,290965                                                                                                                             
37630,1898289,28,0,290984                                                                                                                             
37687,1898307,28,0,290997                                                                                                                             
37533,1907304,28,0,291082                                                                                                                             
37533,1907360,28,0,291087                                                                                                                             
37600,1898447,28,1,291249                                                                                                                             
37570,1907320,28,1,291113                                                                                                                             
37570,1907316,28,1,291113                                                                                                                             
37608,1898415,28,1,291260                                                                                                                             
37634,1898379,28,1,291258                                                                                                                             
37663,1898339,28,1,291257                                                                                                                             
37663,1898332,28,0,291257                                                                                                                             
37548,1903500,28,0,291308                                                                                                                             
37528,1903778,28,0,291351                                                                                                                             
37597,1903697,28,1,291350                                                                                                                             
37597,1903682,28,0,291350                                                                                                                             
37683,1899275,28,0,291461                                                                                                                             
37629,1899362,28,1,291453                                                                                                                             
37627,1903866,28,0,291548                                                                                                                             
37567,1905937,29,1,289791                                                                                                                             
37567,1906090,29,1,289801                                                                                                                             
37626,1905763,29,1,289858                                                                                                                             
37507,1905758,29,1,289858                                                                                                                             
37626,1905593,29,1,289826                                                                                                                             
37575,1905833,29,0,289812                                                                                                                             
37626,1906270,29,1,289872                                                                                                                             
37626,1906160,29,1,289870                                                                                                                             
37546,1906106,29,1,289899                                                                                                                             
37546,1906102,29,1,289898                                                                                                                             
37526,1905724,29,1,289922                                                                                                                             
37652,1905887,29,1,289940                                                                                                                             
37654,1906193,29,0,289989                                                                                                                             
37654,1906187,29,1,289988                                                                                                                             
37624,1901453,29,0,290132                                                                                                                             
37659,1901311,29,1,290167                                                                                                                             
37638,1901581,29,1,290144                                                                                                                             
37624,1901372,29,1,290285                                                                                                                             
37574,1901604,29,0,290278                                                                                                                             
